Name,Website,Organisation Type,Country,Countries of operation,Disability Innovation,Disability Innovation
MathTalk,https://mathtalk.com/,Company,USA,World,"Communication, Education","Hearing, Cognition"
Vision Aid Overseas,https://www.visionaidoverseas.org/,Not for profit,United Kingdom,"Ethiopia, Ghana, Zambia, Sierra Leone",Vision,Vision
PEEK Vision,https://peekvision.org/,Not for profit,United Kingdom,Botswana,Screening & diagnostics services,Vision
The Leprosy Mission England & Wales (TLM),https://www.leprosymission.org/,"Not for profit, Research institution",United Kingdom,"Ethiopia, Mozambique, Bangladesh, Nepal, India, Sudan, Nigeria, Myanmar, Sri Lanka, Niger",Prosthetics & orthotics,Mobility
Legs4Africa,https://www.legs4africa.org/,Not for profit,United Kingdom,"USA, France, Canada, Africa, Australia",Prosthetics & orthotics,"Mobility, Appearance"
Koala Ltd.,https://www.yourkoalaa.com/,For profit,United Kingdom,"USA, Canada, Sri Lanka, Sierra Leone, Europe, Australia, Turkey",Prosthetics & orthotics,"Mobility, Appearance"
Exceed Social Enterprises Ltd (owned by Exceed Worldwide),https://www.exceed-worldwide.org/exceed-social-enterprise,Not for profit,United Kingdom,"Africa, SE Asia, South Asia, Pacific",Prosthetics & orthotics,"Mobility, Appearance"
Motivation,https://www.motivation.org.uk/blog/at-changed-my-life,"Not for profit, Social enterprise",United Kingdom,World,Mobility,Mobility
Freedom One Life,https://freedomonelife.com/,For profit,United Kingdom,"United Kingdom, Kenya",Mobility,Mobility
GSMA,https://www.gsma.com/mobilefordevelopment/assistive-tech/,Investor,United Kingdom,"Africa, Asia",Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Forever Learn Ltd,https://www.forever-learn.org,For profit,United Kingdom,World,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Assistive Tech Impact Fund,https://atimpactfund.com/,Investor,United Kingdom,Africa,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Leonard Cheshire,https://www.leonardcheshire.org/,Not for profit,United Kingdom,"South Sudan, Kenya, Uganda, Bangladesh, Nepal, India, Tanzania, South Africa, Philippines, Thailand, Zambia, Sri Lanka, Zimbabwe, Sierra Leone","Other, Education","Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Wazi Vision,https://wazivision.com/,For profit,Uganda,Uganda,Vision,Vision
Opensigns Impact Innovations (Uganda) Ltd,https://www.facebook.com/opensigns/,"For profit, Community based, Research institution, Social enterprise",Uganda,Uganda,Sign language systems,Hearing
Comprehensive Rehabilitation Services for People with Disability in Uganda (CoRSU),https://corsuhospital.org/,Community based,Uganda,Uganda,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Hope for Street Kids and Vulnerable People - HSKVP Foundation,https://web.facebook.com/Hskvpfoundation?_rdc=1&_rdr,"Not for profit, Social enterprise",Uganda,"Uganda, Democratic Republic of Congo, Nigeria",Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
HawKar,http://hawkar.tn/,For profit,Tunisia,Tunisia,Mobility,Mobility
OADCPH (Organisation Africaine pour le Développement des Centres pour Personnes Handicapées),https://oadcph.org/en/who-are-we/,Not for profit,Togo,Africa,"Mobility, Prosthetics & orthotics","Mobility, Appearance"
Kyaro Assistive Tech,https://www.kyaroassistive.org/,For profit,Tanzania,Tanzania,Mobility,Mobility
Employable Africa,https://www.employableafrica.org/,Not for profit,Tanzania,"Kenya, Uganda, Tanzania","Computers, tablets and mobile devices, Sign language systems, Inclusive employment","Hearing, Vision"
Karagwe Community Based Rehabilitation Programmes(KCBRP),https://kcbrp.org/,"Community based, Research institution",Tanzania,Tanzania,Education,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Tusaidiane Disabilities Resources and Charity Organization of Tanzania (TDRCT),https://tusaidiane.page.tl/,"Community based, Research institution, Cross disability organization",Tanzania,Tanzania,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Comprehensive Community-Based Rehabilitation in Tanzania (CCBRT),http://www.ccbrt.or.tz/,Non profit,Tanzania,Tanzania,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
SwissLimbs Association,https://www.swisslimbs.org/,Not for profit,Switzerland,"Mozambique, Kenya, Uganda, Tanzania",Prosthetics & orthotics,"Mobility, Appearance"
Project Circleg,https://projectcircleg.com/,"For profit, Not for profit",Switzerland,"Kenya, Uganda, Tanzania",Prosthetics & orthotics,"Mobility, Appearance"
Dot,http://www.dotincorp.com/,For profit,South Korea,South Korea,Vision,Vision
Olive Union,https://www.oliveunion.com/us/,For profit,South Korea,South Korea,Hearing,Hearing
Oplene Group,https://www.innovationbridge.info/ibportal/content/oplene-group,For profit,South Africa,South Africa,"Vision, Navigation",Vision
deaftouch,http://www.deaftouch.co.za/,For profit,South Africa,South Africa,"Hearing, Sign language systems",Hearing
Ludada and Associates Orthopaedic Services,http://ludadaandassociates.com/,For profit,South Africa,South Africa,"Mobility, Prosthetics & orthotics","Mobility, Appearance"
Wits Enterprise,https://wits-enterprise.co.za/about,"For profit, Community based, Academic institution",South Africa,South Africa,"Prosthetics & orthotics, Education","Mobility, Appearance"
OCRAM O And P and Ocram Mobility Foundation,https://www.facebook.com/OcramOP/posts,"For profit, Not for profit, Community based, Research institution",South Africa,South Africa,Prosthetics & orthotics,"Mobility, Appearance"
Shonaquip Social Enterprise (SSE),https://shonaquip.co.za/,"For profit, Not for profit, Community based, Social enterprise",South Africa,"Mozambique, Uganda, Botswana, South Africa, Namibia, Zimbabwe, Lesotho",Mobility,Mobility
Anathoth Solutions,nan,For profit,South Africa,South Africa,Mobility,Mobility
ShazaCin Accessible Media (SAM) PTY Ltd,https://shazacin.com/,For profit,South Africa,South Africa,Hearing,Vision
HearX,https://www.hearxgroup.com/,For profit,South Africa,South Africa,Hearing,Hearing
Walter Sisulu University,https://www.wsu.ac.za/,"Academic institution, Research institution",South Africa,South Africa,Education,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Senso,http://www.senso.co.za/,For profit,South Africa,South Africa,"Hearing, Communication",Hearing
Diversity Action Network (DAN),https://www.dansomaliland.org/,Ngo,Somalia,Somalia,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Smart BFA by Trampolene,https://smartbfa.com/aboutUs,Not for profit,Singapore,Singapore,"Vision, Navigation",Vision
Navistar by MyrLabs,http://www.myrmidonlaboratories.com/,For profit,Singapore,Singapore,"Vision, Navigation",Vision
iC2 Prephouse,https://ic2.com.sg/,For profit,Singapore,Singapore,Tactile design,Vision
DeafTawk,https://www.deaftawk.com/,For profit,Singapore,"Singapore, Pakistan","Hearing, Sign language systems",Hearing
HeartWheels by Hapticus,https://www.hapticus.com/,For profit,Singapore,Singapore,"Mobility, Travel",Mobility
XCLR8 Technologies,http://www.xcl-r8.com/,For profit,Singapore,Singapore,"Mobility, Digital therapy",Mobility
SPARK by MOVINC (Mobearlize),https://www.movinc.sg/,For profit,Singapore,Singapore,Mobility,Mobility
